Bill of Materials,,,,,,,,,,,,,,,,
Part Name/Description,Unit Quantity,Unit Prototype Cost,Total Prototype Cost,Unit Production Cost,Total Production Cost,Manufacturer,Manufacturer Part #,Vendor Link,Datasheet Link,Supplier,Supplier Part #,# Ordered,Date Ordered,# Received,Surplus,Schematic Reference Designators
RMCF0805FT120R SMD Resistor 120 Ohm,1,$0.025,$0.03,,$0.00,Stackpole Electronics Inc,RMCF0805FT120R,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT120R/1712658,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Digikey,738-RMCF0805FT120RCT-ND,10,2/28/2025,0,-1,U1
RMCF0805FT200R SMD Resistor 200 Ohm,1,$0.025,$0.03,,$0.00,Stackpole Electronics Inc,RMCF0805FT200R,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT200R/1760343,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Digikey,RMCF0805FT200RCT-ND,10,2/28/2025,0,-1,"C2, C4, C6, C7, C8, C9, C10, C11, C12, C16"
CRCW08053R60FKEA SMD Resistor 3.6 Ohm,4,$0.051,$0.20,,$0.00,Vishay Dale,CRCW08053R60FKEA,https://www.digikey.com/en/products/detail/vishay-dale/CRCW08053R60FKEA/1961713,https://www.vishay.com/docs/20035/dcrcwe3.pdf,Digikey,541-3.60CCCT-ND,10,2/28/2025,0,-4,"R1, R2, R3"
RMCF0805FT10K0 SMD Resistor 10 KOhm,1,$0.025,$0.03,,$0.00,Stackpole Electronics Inc,RMCF0805FT10K0,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT10K0/1760676,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Digikey,RMCF0805FT10K0CT-ND,10,2/28/2025,0,-1,"Q1, Q2, Q3, Q4"
TCTP1C106M8R SMD Tantalum Capacitor 10 uF,1,$0.539,$0.54,,$0.00,KYOCERA AVX,TCTP1C106M8R,https://www.digikey.com/en/products/detail/kyocera-avx/TCTP1C106M8R/2289843,https://datasheets.kyocera-avx.com/tct-series.pdf,Digikey,478-TCTP1C106M8RCT-ND,10,2/28/2025,0,-1,SW1
GRM21BR61E106KA73L Ceramic Capacitor 10 uF,1,$0.140,$0.14,,$0.00,Murata Electronics,GRM21BR61E106KA73L,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61E106KA73L/2334874,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61E106KA73-01.pdf,Digikey,490-5523-1-ND,10,2/28/2025,0,-1,S1
CC0805KRX7R9BB104 Ceramic Capacitor 0.1 uF,2,$0.080,$0.16,,$0.00,YAGEO,CC0805KRX7R9BB104,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf,Digikey,311-1140-1-ND,10,2/28/2025,0,-2,D1
JE2835AGR-N-0002A0000-N0000001 Green SMD LED,4,$0.203,$0.81,,$0.00,Cree LED,JE2835AGR-N-0002A0000-N0000001,https://www.digikey.com/en/products/detail/cree-led/JE2835AGR-N-0002A0000-N0000001/16671666,https://downloads.cree-led.com/files/ds/j/JSeries-2835-Color.pdf,Digikey,2138-JE2835AGR-N-0002A0000-N0000001CT-ND,10,2/28/2025,0,-4,
LM1085ISX-3.3/NOPB Voltage Regulator 3.3 SMD,1,$1.84,$1.84,,$0.00,Texas Instruments,LM1085ISX-3.3/NOPB,https://www.digikey.com/en/products/detail/texas-instruments/LM1085ISX-3-3-NOPB/366710,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm1085,Digikey,LM1085ISX-3.3/NOPBCT-ND,4,2/28/2025,0,-1,
Fuse 1.5 A,1,,$0.00,,$0.00,Peralta,,,,,,0,,0,-1,
Fuse Holder,1,,$0.00,,$0.00,Peralta,,,,,,0,,0,-1,
Headers,2,,$0.00,,$0.00,Peralta,,,,,,0,,0,-2,
Test Points,5,,$0.00,,$0.00,Peralta,,,,,,0,,0,-5,
Jumpers,3,,$0.00,,$0.00,Peralta,,,,,,0,,0,-3,
8-pin Headers,2,,$0.00,,$0.00,Peralta,,,,,,0,,0,-2,
ESP32-S3-WROOM-1-N4,1,,$0.00,,$0.00,Peralta,,,,,,0,,0,-1,
Switches,2,,$0.00,,$0.00,Peralta,,,,,,0,,0,-2,
USB3131-30-0230-A,1,$0.77,$0.77,,$0.00,Peralta,USB3131-30-0230-A,https://www.digikey.com/en/products/detail/gct/USB3131-30-0230-A/9859642,https://gct.co/files/specs/usb3131-spec.pdf,Peralta/Digikey,2073-USB3131-30-0230-ACT-ND,0,,0,-1,
LRS-75-12,1,$14.10,$14.10,,$0.00,MEAN WELL USA Inc.,LRS-75-12,https://www.digikey.com/en/products/detail/mean-well-usa-inc/LRS-75-12/7705051,https://www.meanwellusa.com/upload/pdf/LRS-75/LRS-75-spec.pdf,Digikey,1866-3359-ND,0,,,-1,
